atomic_number ion_charge g
1 0 2.0
1 1 1.0
2 0 1.0
2 1 2.0
2 2 1.0
3 0 2.0
3 1 1.0
3 2 2.0
3 3 1.0
4 0 1.0
4 1 2.0
4 3 2.0
4 4 1.0
5 0 6.0
5 1 1.0
5 2 2.0
5 3 1.0
5 4 2.0
5 5 1.0
6 0 9.0
6 1 6.0
6 2 1.0
6 3 2.0
6 4 1.0
6 5 2.0
6 6 1.0
7 0 4.0
7 1 9.0
7 2 6.0
7 3 1.0
7 4 2.0
7 5 1.0
7 6 2.0
7 7 1.0
8 0 9.0
8 1 4.0
8 2 9.0
8 3 6.0
8 4 1.0
8 5 2.0
8 6 1.0
8 7 2.0
8 8 1.0
9 0 6.0
9 1 9.0
9 2 4.0
9 3 9.0
9 4 6.0
9 5 1.0
9 6 2.0
9 7 1.0
9 8 2.0
9 9 1.0
10 0 1.0
10 1 6.0
10 2 9.0
10 3 4.0
10 4 9.0
10 5 6.0
10 6 1.0
10 7 2.0
10 8 1.0
10 9 2.0
10 10 1.0
11 0 2.0
11 1 1.0
11 2 6.0
11 3 9.0
11 4 4.0
11 5 9.0
11 6 6.0
11 7 1.0
11 8 2.0
11 9 1.0
11 10 2.0
11 11 1.0
12 0 1.0
12 1 2.0
12 2 1.0
12 3 6.0
12 4 9.0
12 5 4.0
12 6 9.0
12 7 6.0
12 8 1.0
12 9 2.0
12 10 1.0
12 11 2.0
12 12 1.0
13 0 6.0
13 1 1.0
13 2 2.0
13 3 1.0
13 4 6.0
13 5 9.0
13 6 4.0
13 7 9.0
13 8 6.0
13 9 1.0
13 10 2.0
13 11 1.0
13 12 2.0
13 13 1.0
14 0 9.0
14 1 6.0
14 2 1.0
14 3 2.0
14 4 1.0
14 5 6.0
14 6 9.0
14 7 4.0
14 8 9.0
14 9 6.0
14 10 1.0
14 11 2.0
14 12 1.0
14 13 2.0
14 14 1.0
15 0 4.0
15 1 9.0
15 2 6.0
15 3 1.0
15 4 2.0
15 5 1.0
15 6 6.0
15 7 9.0
15 8 4.0
15 9 9.0
15 10 6.0
15 11 1.0
15 12 2.0
15 13 1.0
15 14 2.0
15 15 1.0
16 0 7.0
16 1 4.0
16 2 9.0
16 3 6.0
16 4 1.0
16 5 2.0
16 6 1.0
16 7 6.0
16 8 9.0
16 9 4.0
16 10 9.0
16 11 6.0
16 12 1.0
16 13 2.0
16 14 1.0
16 15 2.0
16 16 1.0
17 0 6.0
17 1 9.0
17 2 4.0
17 3 9.0
17 4 6.0
17 5 1.0
17 6 2.0
17 7 1.0
17 8 6.0
17 9 9.0
17 10 4.0
17 11 9.0
17 12 6.0
17 13 1.0
17 14 2.0
17 15 1.0
17 16 2.0
17 17 1.0
18 0 1.0
18 1 6.0
18 2 9.0
18 3 4.0
18 4 9.0
18 5 6.0
18 6 1.0
18 7 2.0
18 8 1.0
18 9 6.0
18 10 9.0
18 11 4.0
18 12 9.0
18 13 6.0
18 14 1.0
18 15 2.0
18 16 1.0
18 17 2.0
18 18 1.0
19 0 2.0
19 1 1.0
19 2 6.0
19 3 9.0
19 4 4.0
19 5 9.0
19 6 6.0
19 7 1.0
19 8 2.0
19 9 1.0
19 10 6.0
19 11 9.0
19 12 4.0
19 13 9.0
19 14 6.0
19 15 1.0
19 16 2.0
19 17 1.0
19 18 2.0
19 19 1.0
20 0 1.0
20 1 2.0
20 2 1.0
20 3 6.0
20 4 9.0
20 5 4.0
20 6 9.0
20 7 6.0
20 8 1.0
20 9 2.0
20 10 1.0
20 11 6.0
20 12 9.0
20 13 4.0
20 14 9.0
20 15 6.0
20 16 1.0
20 17 2.0
20 18 1.0
20 19 2.0
20 20 1.0
21 0 10.0
21 1 15.0
21 2 10.0
21 3 1.0
21 4 6.0
21 5 9.0
21 6 4.0
21 7 9.0
21 8 6.0
21 9 1.0
21 10 2.0
21 11 1.0
21 12 6.0
21 13 9.0
21 14 4.0
21 15 9.0
21 16 6.0
21 17 1.0
21 18 2.0
21 19 1.0
21 20 2.0
21 21 1.0
22 0 21.0
22 1 28.0
22 2 21.0
22 3 10.0
22 4 1.0
22 5 6.0
22 6 9.0
22 7 4.0
22 8 9.0
22 9 6.0
22 10 1.0
22 11 2.0
22 12 1.0
22 13 6.0
22 14 9.0
22 15 4.0
22 16 9.0
22 17 6.0
22 18 1.0
22 19 2.0
22 20 1.0
22 21 2.0
22 22 1.0
23 0 28.0
23 1 25.0
23 2 28.0
23 3 21.0
23 4 10.0
23 5 1.0
23 6 6.0
23 7 9.0
23 8 4.0
23 9 9.0
23 10 6.0
23 11 1.0
23 12 2.0
23 14 6.0
23 15 9.0
23 16 4.0
23 17 9.0
23 18 6.0
23 19 1.0
23 20 2.0
23 21 1.0
23 22 2.0
23 23 1.0
24 0 7.0
24 1 6.0
24 2 25.0
24 3 28.0
24 4 21.0
24 5 10.0
24 6 1.0
24 7 6.0
24 8 9.0
24 9 4.0
24 10 9.0
24 11 6.0
24 12 1.0
24 13 2.0
24 14 1.0
24 15 6.0
24 16 9.0
24 17 4.0
24 18 9.0
24 19 6.0
24 20 1.0
24 21 2.0
24 22 1.0
24 23 2.0
24 24 1.0
25 0 6.0
25 1 7.0
